DELTA Energy Terms
Frame #,VDWAALS,EEL,EPB,ENPOLAR,EDISPER,DELTA G gas,DELTA G solv,DELTA TOTAL
183,-36.931,-14.0792,28.0833,-2.4878,0.0,-51.0102,25.5955,-25.4147
184,-40.194,-9.2112,28.5542,-2.5718,0.0,-49.4052,25.9824,-23.4228
185,-39.0899,-7.7813,25.2805,-2.5586,0.0,-46.8712,22.7219,-24.1493
186,-37.3396,-10.5913,25.5602,-2.5663,0.0,-47.9309,22.9939,-24.937
187,-35.567,-14.1811,27.7859,-2.6039,0.0,-49.7481,25.182,-24.5661
188,-37.1794,-8.6909,31.1587,-2.644,0.0,-45.8703,28.5147,-17.3556
189,-38.0567,-13.625,24.9245,-2.5579,0.0,-51.6817,22.3666,-29.3151
190,-33.5269,-9.628,24.0337,-2.7195,0.0,-43.1549,21.3142,-21.8407
191,-38.747,-12.224,26.6303,-2.6046,0.0,-50.971,24.0257,-26.9453
192,-40.5485,-12.9741,26.775,-2.5179,0.0,-53.5226,24.2571,-29.2655
193,-40.9585,-11.5602,26.02,-2.492,0.0,-52.5187,23.528,-28.9907
194,-40.2284,-11.6776,28.4738,-2.5536,0.0,-51.906,25.9202,-25.9858
195,-39.6911,-12.6504,26.4393,-2.5818,0.0,-52.3415,23.8575,-28.484
196,-37.1185,-10.1361,21.7613,-2.6768,0.0,-47.2546,19.0845,-28.1701
197,-33.4489,-9.5788,25.5826,-2.6338,0.0,-43.0277,22.9488,-20.0789
198,-36.5053,-13.0772,26.4763,-2.5704,0.0,-49.5825,23.9059,-25.6766
199,-37.3185,-9.7516,24.4658,-2.6395,0.0,-47.0701,21.8263,-25.2438
200,-34.8258,-16.3755,26.8605,-2.6807,0.0,-51.2013,24.1798,-27.0215
201,-34.83,-11.6711,26.7136,-2.6276,0.0,-46.5011,24.086,-22.4151
202,-39.3579,-10.4835,26.3985,-2.5848,0.0,-49.8414,23.8137,-26.0277
203,-38.7352,-12.968,25.1992,-2.546,0.0,-51.7032,22.6532,-29.05
204,-38.6897,-14.0841,26.3483,-2.6996,0.0,-52.7738,23.6487,-29.1251
205,-37.6665,-12.7496,25.077,-2.6872,0.0,-50.4161,22.3898,-28.0263
206,-36.8919,-13.0669,24.8691,-2.5959,0.0,-49.9588,22.2732,-27.6856
207,-37.8907,-15.4852,23.3842,-2.487,0.0,-53.3759,20.8972,-32.4787
208,-38.5319,-12.1757,24.23,-2.5269,0.0,-50.7076,21.7031,-29.0045
209,-37.8959,-12.7997,25.6513,-2.5136,0.0,-50.6956,23.1377,-27.5579
210,-37.5725,-14.5417,24.9873,-2.5012,0.0,-52.1142,22.4861,-29.6281
211,-36.042,-10.8188,30.192,-2.8287,0.0,-46.8608,27.3633,-19.4975
212,-38.1207,-12.0603,27.7898,-2.6223,0.0,-50.181,25.1675,-25.0135
213,-36.5047,-17.8963,27.2418,-2.6163,0.0,-54.401,24.6255,-29.7755
214,-35.2882,-16.8417,25.353,-2.6555,0.0,-52.1299,22.6975,-29.4324
215,-33.9617,-14.9013,28.2505,-2.5851,0.0,-48.863,25.6654,-23.1976
216,-36.9076,-11.0503,28.3592,-2.7205,0.0,-47.9579,25.6387,-22.3192
217,-36.411,-11.0524,24.7838,-2.592,0.0,-47.4634,22.1918,-25.2716
218,-36.3836,-13.5941,26.5812,-2.4345,0.0,-49.9777,24.1467,-25.831
219,-40.5646,-11.5338,25.2815,-2.4839,0.0,-52.0984,22.7976,-29.3008
220,-36.4022,-12.3846,28.0,-2.4262,0.0,-48.7868,25.5738,-23.213
221,-39.1443,-10.3571,28.0079,-2.5938,0.0,-49.5014,25.4141,-24.0873
222,-38.7664,-8.8389,29.9089,-2.6128,0.0,-47.6053,27.2961,-20.3092
223,-37.5072,-13.6506,28.5574,-2.5438,0.0,-51.1578,26.0136,-25.1442
224,-39.4882,-11.4938,24.6214,-2.6417,0.0,-50.982,21.9797,-29.0023
225,-34.5245,-16.3925,26.5156,-2.5401,0.0,-50.917,23.9755,-26.9415
226,-36.6759,-11.7379,26.0276,-2.6946,0.0,-48.4138,23.333,-25.0808
227,-38.9696,-13.8386,27.0343,-2.7088,0.0,-52.8082,24.3255,-28.4827
228,-37.5761,-16.2073,28.9334,-2.6012,0.0,-53.7834,26.3322,-27.4512
229,-36.818,-16.9094,26.7966,-2.4864,0.0,-53.7274,24.3102,-29.4172
230,-37.9151,-12.669,25.1715,-2.6382,0.0,-50.5841,22.5333,-28.0508
231,-36.9846,-15.2668,26.5571,-2.6439,0.0,-52.2514,23.9132,-28.3382
232,-35.4563,-17.4345,25.8753,-2.7096,0.0,-52.8908,23.1657,-29.7251
233,-31.5113,-14.1677,26.0777,-2.7841,0.0,-45.679,23.2936,-22.3854
234,-38.1387,-13.49,26.4912,-2.555,0.0,-51.6287,23.9362,-27.6925
235,-37.4726,-14.715,26.1959,-2.7163,0.0,-52.1876,23.4796,-28.708
236,-37.4954,-15.2985,28.0576,-2.5426,0.0,-52.7939,25.515,-27.2789
237,-40.8216,-11.357,24.7055,-2.5596,0.0,-52.1786,22.1459,-30.0327
238,-37.1791,-13.2621,26.0825,-2.4789,0.0,-50.4412,23.6036,-26.8376
239,-35.1157,-18.4329,27.4747,-2.4636,0.0,-53.5486,25.0111,-28.5375
240,-37.5261,-16.2319,29.2079,-2.6026,0.0,-53.758,26.6053,-27.1527
241,-34.9285,-14.5809,25.6939,-2.6075,0.0,-49.5094,23.0864,-26.423
242,-37.5631,-10.5013,23.154,-2.5457,0.0,-48.0644,20.6083,-27.4561
243,-37.4093,-16.0961,26.8934,-2.5213,0.0,-53.5054,24.3721,-29.1333
244,-38.7659,-15.7572,25.6937,-2.489,0.0,-54.5231,23.2047,-31.3184
245,-36.7621,-15.5065,28.5165,-2.6831,0.0,-52.2686,25.8334,-26.4352
246,-36.1437,-18.3524,27.1795,-2.4743,0.0,-54.4961,24.7052,-29.7909
247,-36.3688,-20.7665,29.9376,-2.5208,0.0,-57.1353,27.4168,-29.7185
248,-37.2771,-14.825,26.6263,-2.5025,0.0,-52.1021,24.1238,-27.9783
249,-37.8888,-14.6909,27.8183,-2.6905,0.0,-52.5797,25.1278,-27.4519
250,-38.6625,-16.5662,28.7631,-2.5349,0.0,-55.2287,26.2282,-29.0005
251,-42.0466,-12.7361,26.4129,-2.5317,0.0,-54.7827,23.8812,-30.9015
252,-36.7412,-18.0265,29.8607,-2.5963,0.0,-54.7677,27.2644,-27.5033
253,-35.5482,-15.8312,26.1704,-2.714,0.0,-51.3794,23.4564,-27.923
254,-36.9987,-17.1199,24.7872,-2.5376,0.0,-54.1186,22.2496,-31.869
